metric_count,rate_per_metric,total_rate_per_min,duration_min,expected_files,expected_samples,samples_read,read_wall_s,throughput_samples_per_min,cpu_seconds,avg_cores,peak_rss_mb,avg_rss_mb
1,100,100,1,100,100,100,0.037,162162.2,0.08,2.162,184.6,184.6
1,100,100,5,500,500,500,0.173,173410.4,0.14,0.809,193.7,192.6
1,100,100,10,1000,1000,1000,0.328,182926.8,0.22,0.671,196.6,196.3
1,100,100,20,2000,2000,2000,0.669,179372.2,0.38,0.568,200.2,199.6
1,1000,1000,1,600,1000,600,0.198,181818.2,0.16,0.808,195.0,195.0
1,1000,1000,5,3000,5000,3000,0.984,182926.8,0.54,0.549,202.0,200.8
1,1000,1000,10,6000,10000,6000,1.961,183579.8,0.98,0.5,201.8,200.6
1,1000,1000,20,12000,20000,12000,3.919,183720.3,1.92,0.49,202.9,202.3
1,2000,2000,1,600,2000,600,0.195,184615.4,0.16,0.821,193.8,193.8
1,2000,2000,5,3000,10000,3000,0.988,182186.2,0.53,0.536,201.5,199.8
1,2000,2000,10,6000,20000,6000,1.924,187110.2,0.95,0.494,200.8,200.1
1,2000,2000,20,12000,40000,12000,3.89,185090.0,1.9,0.488,202.8,202.0
1,3000,3000,1,600,3000,600,0.195,184615.4,0.17,0.872,196.5,196.5
1,3000,3000,5,3000,15000,3000,0.976,184426.2,0.52,0.533,203.1,202.1
1,3000,3000,10,6000,30000,6000,1.934,186142.7,0.97,0.502,201.7,200.7
1,3000,3000,20,12000,60000,12000,3.886,185280.5,1.88,0.484,202.7,201.9
1,4000,4000,1,600,4000,600,0.201,179104.5,0.16,0.796,195.5,195.5
1,4000,4000,5,3000,20000,3000,0.991,181634.7,0.55,0.555,200.5,199.5
1,4000,4000,10,6000,40000,6000,1.935,186046.5,0.97,0.501,202.5,201.8
1,4000,4000,20,12000,80000,12000,3.881,185519.2,1.87,0.482,201.1,200.6
10,100,1000,1,600,1000,600,0.204,176470.6,0.18,0.882,196.6,196.6
10,100,1000,5,3000,5000,3000,0.979,183861.1,0.54,0.552,201.3,200.0
10,100,1000,10,6000,10000,6000,1.924,187110.2,0.96,0.499,202.3,202.0
10,100,1000,20,12000,20000,12000,3.888,185185.2,1.88,0.484,204.0,203.2
10,1000,10000,1,600,10000,600,0.21,171428.6,0.15,0.714,199.8,199.8
10,1000,10000,5,3000,50000,3000,1.006,178926.4,0.55,0.547,202.7,201.6
10,1000,10000,10,6000,100000,6000,1.977,182094.1,1.02,0.516,203.8,202.7
10,1000,10000,20,12000,200000,12000,3.972,181268.9,1.95,0.491,202.8,202.1
10,2000,20000,1,600,20000,600,0.216,166666.7,0.17,0.787,198.1,198.1
10,2000,20000,5,3000,100000,3000,1.005,179104.5,0.55,0.547,202.2,200.7
10,2000,20000,10,6000,200000,6000,1.999,180090.0,1.06,0.53,203.8,203.0
10,2000,20000,20,12000,400000,12000,4.013,179416.9,2.01,0.501,202.5,202.1
10,3000,30000,1,600,30000,600,0.223,161435.0,0.19,0.852,196.9,196.9
10,3000,30000,5,3000,150000,3000,1.016,177165.4,0.58,0.571,200.5,200.2
10,3000,30000,10,6000,300000,6000,2.112,170454.5,1.08,0.511,201.9,200.3
10,3000,30000,20,12000,600000,12000,4.331,166243.4,2.14,0.494,204.9,202.6
10,4000,40000,1,600,40000,600,0.212,169811.3,0.18,0.849,199.0,199.0
10,4000,40000,5,3000,200000,3000,1.046,172084.1,0.61,0.583,202.7,201.1
10,4000,40000,10,6000,400000,6000,2.08,173076.9,1.16,0.558,202.5,201.4
10,4000,40000,20,12000,800000,12000,4.216,170778.0,2.28,0.541,202.0,201.7
