metric_count,rate_per_metric,duration_min,objects,datapoints,read_wall_s,objects_per_sec,datapoints_per_sec,cpu_seconds,avg_cores,peak_rss_mb,avg_rss_mb
1,100,1,100,100,0.037,2702.7,2703,0.08,2.162,184.6,184.6
1,100,5,500,500,0.173,2890.2,2890,0.14,0.809,193.7,192.6
1,100,10,1000,1000,0.328,3048.8,3049,0.22,0.671,196.6,196.3
1,100,20,2000,2000,0.669,2989.5,2990,0.38,0.568,200.2,199.6
1,1000,1,600,1000,0.198,3030.3,5051,0.16,0.808,195.0,195.0
1,1000,5,3000,5000,0.984,3048.8,5081,0.54,0.549,202.0,200.8
1,1000,10,6000,10000,1.961,3059.7,5099,0.98,0.5,201.8,200.6
1,1000,20,12000,20000,3.919,3062.0,5103,1.92,0.49,202.9,202.3
1,2000,1,600,2000,0.195,3076.9,10256,0.16,0.821,193.8,193.8
1,2000,5,3000,10000,0.988,3036.4,10121,0.53,0.536,201.5,199.8
1,2000,10,6000,20000,1.924,3118.5,10395,0.95,0.494,200.8,200.1
1,2000,20,12000,40000,3.89,3084.8,10283,1.9,0.488,202.8,202.0
1,3000,1,600,3000,0.195,3076.9,15385,0.17,0.872,196.5,196.5
1,3000,5,3000,15000,0.976,3073.8,15369,0.52,0.533,203.1,202.1
1,3000,10,6000,30000,1.934,3102.4,15512,0.97,0.502,201.7,200.7
1,3000,20,12000,60000,3.886,3088.0,15440,1.88,0.484,202.7,201.9
1,4000,1,600,4000,0.201,2985.1,19900,0.16,0.796,195.5,195.5
1,4000,5,3000,20000,0.991,3027.2,20182,0.55,0.555,200.5,199.5
1,4000,10,6000,40000,1.935,3100.8,20672,0.97,0.501,202.5,201.8
1,4000,20,12000,80000,3.881,3092.0,20613,1.87,0.482,201.1,200.6
10,100,1,600,1000,0.204,2941.2,4902,0.18,0.882,196.6,196.6
10,100,5,3000,5000,0.979,3064.4,5107,0.54,0.552,201.3,200.0
10,100,10,6000,10000,1.924,3118.5,5198,0.96,0.499,202.3,202.0
10,100,20,12000,20000,3.888,3086.4,5144,1.88,0.484,204.0,203.2
10,1000,1,600,10000,0.21,2857.1,47619,0.15,0.714,199.8,199.8
10,1000,5,3000,50000,1.006,2982.1,49702,0.55,0.547,202.7,201.6
10,1000,10,6000,100000,1.977,3034.9,50582,1.02,0.516,203.8,202.7
10,1000,20,12000,200000,3.972,3021.1,50352,1.95,0.491,202.8,202.1
10,2000,1,600,20000,0.216,2777.8,92593,0.17,0.787,198.1,198.1
10,2000,5,3000,100000,1.005,2985.1,99502,0.55,0.547,202.2,200.7
10,2000,10,6000,200000,1.999,3001.5,100050,1.06,0.53,203.8,203.0
10,2000,20,12000,400000,4.013,2990.3,99676,2.01,0.501,202.5,202.1
10,3000,1,600,30000,0.223,2690.6,134529,0.19,0.852,196.9,196.9
10,3000,5,3000,150000,1.016,2952.8,147638,0.58,0.571,200.5,200.2
10,3000,10,6000,300000,2.112,2840.9,142045,1.08,0.511,201.9,200.3
10,3000,20,12000,600000,4.331,2770.7,138536,2.14,0.494,204.9,202.6
10,4000,1,600,40000,0.212,2830.2,188679,0.18,0.849,199.0,199.0
10,4000,5,3000,200000,1.046,2868.1,191205,0.61,0.583,202.7,201.1
10,4000,10,6000,400000,2.08,2884.6,192308,1.16,0.558,202.5,201.4
10,4000,20,12000,800000,4.216,2846.3,189753,2.28,0.541,202.0,201.7
