series,rate_per_series,duration_min,objects,datapoints,dtc_processed,dtc_out_of_order,streams_tracked,read_wall_s,cpu_seconds,avg_cores,peak_rss_mb,avg_rss_mb
1,100,1,100,100,100,0,1,0.037,0.09,2.432,189.7,188.2
1,100,5,500,500,500,0,1,0.169,0.15,0.888,198.1,198.1
1,100,10,1000,1000,1000,0,1,0.34,0.25,0.735,200.4,200.4
1,100,20,2000,2000,2000,0,1,0.7,0.41,0.586,201.4,201.1
1,1000,1,600,1000,1000,0,1,0.218,0.19,0.872,198.6,198.6
1,1000,5,3000,5000,5000,0,1,1.018,0.59,0.58,206.1,205.6
1,1000,10,6000,10000,10000,0,1,2.027,1.08,0.533,203.7,203.0
1,1000,20,12000,20000,20000,0,1,4.136,2.13,0.515,203.6,203.3
1,2000,1,600,2000,2000,0,1,0.214,0.22,1.028,197.0,197.0
1,2000,5,3000,10000,10000,0,1,1.058,0.62,0.586,203.1,202.9
1,2000,10,6000,20000,20000,0,1,2.032,1.07,0.527,203.2,202.8
1,2000,20,12000,40000,40000,0,1,4.063,2.06,0.507,204.6,204.0
1,3000,1,600,3000,3000,0,1,0.21,0.18,0.857,200.5,200.5
1,3000,5,3000,15000,15000,0,1,1.01,0.58,0.574,201.7,201.2
1,3000,10,6000,30000,30000,0,1,2.046,1.12,0.547,204.2,203.8
1,3000,20,12000,60000,60000,0,1,4.151,2.17,0.523,203.8,203.0
1,4000,1,600,4000,4000,0,1,0.22,0.21,0.955,202.1,202.1
1,4000,5,3000,20000,20000,0,1,1.052,0.63,0.599,204.0,203.7
1,4000,10,6000,40000,40000,0,1,2.056,1.11,0.54,205.1,204.1
1,4000,20,12000,80000,80000,0,1,4.208,2.23,0.53,203.1,202.8
10,100,1,600,1000,1000,0,10,0.22,0.2,0.909,200.3,200.3
10,100,5,3000,5000,5000,0,10,1.014,0.57,0.562,203.9,203.3
10,100,10,6000,10000,10000,0,10,2.045,1.07,0.523,202.8,201.7
10,100,20,12000,20000,20000,0,10,4.012,2.04,0.508,202.8,202.4
10,1000,1,600,10000,10000,0,10,0.241,0.23,0.954,201.3,201.3
10,1000,5,3000,50000,50000,0,10,1.11,0.71,0.64,203.9,203.5
10,1000,10,6000,100000,100000,0,10,2.234,1.31,0.586,207.3,206.4
10,1000,20,12000,200000,200000,0,10,4.617,2.65,0.574,203.1,202.6
10,2000,1,600,20000,20000,0,10,0.284,0.26,0.915,200.8,200.8
10,2000,5,3000,100000,100000,0,10,1.236,0.85,0.688,205.7,204.9
10,2000,10,6000,200000,200000,0,10,2.428,1.6,0.659,205.9,205.2
10,2000,20,12000,400000,400000,0,10,4.87,3.07,0.63,204.1,203.6
10,3000,1,600,30000,30000,0,10,0.309,0.34,1.1,204.3,204.3
10,3000,5,3000,150000,150000,0,10,1.37,1.01,0.737,205.0,204.9
10,3000,10,6000,300000,300000,0,10,2.666,1.88,0.705,206.3,205.8
10,3000,20,12000,600000,600000,0,10,5.397,3.71,0.687,205.0,204.7
10,4000,1,600,40000,40000,0,10,0.306,0.29,0.948,201.9,201.9
10,4000,5,3000,200000,200000,0,10,1.517,1.15,0.758,203.4,202.9
10,4000,10,6000,400000,400000,0,10,2.975,2.13,0.716,203.6,203.4
10,4000,20,12000,800000,800000,0,10,6.55,4.68,0.715,204.1,203.4
